RESULT_TAG,SID,CID,SMILES,Activity_Outcome,Activity_Score,Activity_Summary,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),Sample_Source
2369,170466083,5561,C(CCl)N(CCCl)CCCl,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,60.99633857,inactive,,0,Microsource
2370,170465290,148192,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,54.64419529,inactive,,0,Sequoia
2371,144206892,198707,C[C@H](CN1CCCC1)C(=O)C2=CC=C(C=C2)C(F)(F)F,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,248.49275,inactive,,0,Pharmaron
2372,170466898,10127622,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,71.4336469,inactive,,0,Selleck
2373,170465773,3091,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N2CCOCC2,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,62.44049604,inconclusive antagonist,29.8493,-57.1791,GVK
2374,170466728,3019305,C1=CC=C2C(=C1)N=C(N2CC3=CC=C(C=C3)F)N,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,56.73388033,inconclusive antagonist,28.1796,-45.8218,GVK
2375,144210304,,,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,70.45025859,inactive,,0,NTP-MRI Repository
2376,170465682,9880,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C)Cl)C)OC(=O)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,108.0049219,inactive,,0,Prestwick
2377,170465131,54889,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC(=C(C=C3C[C@H]2C(=O)O)OC)OC.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,38.76005819,inactive,,0,Tocris
2378,170465944,443873,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CS[C@@H](CN(C2=O)CC(=O)O)C3=CC=CS3.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,38.32768755,inactive,,0,Sequoia
2379,170465079,444030,C1CN(C[C@@H]1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5.Br,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.60321198,35.51323506,inactive,,0,Microsource
2380,144207466,7570,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.83463287,79.14971765,inactive,,0,SIGMA
2381,144207283,7607,C1=CC(=C(C=C1N=C=O)Cl)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,26.86232356,61.75932804,inactive,,0,SIGMA
2382,144206383,13493,CCN(CC)CCN1C2=C(C=C(C=C2)[N+](=O)[O-])N=C1CC3=CC=C(C=C3)OCC,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.01552894,74.39137755,active antagonist,61.6519,-91.2894,RTI
2383,144208332,8667,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.13949211,32.46212786,active antagonist,46.4446,-43.7458,ChemService
2384,144207524,10867,C1=CC=C(C=C1)CSCC2=CC=CC=C2,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.22273497,112.3023968,inactive,,0,SIGMA
2385,144210380,4947,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,52.47704627,active antagonist,63.5221,-46.9914,SIGMA
2386,144210387,3036,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,54.93273216,active antagonist,74.0614,-64.4817,SIGMA
2387,144210816,62485,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,70.6608157,inactive,,0,LightBiologicals
2388,144211035,34526,CCN(CC)C1=NC(=CC(=N1)OP(=S)(OC)OC)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,55.38946139,inactive,,0,SIGMA
2389,144211075,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,55.72735535,inactive,,0,LightBiologicals
2390,144212425,190,C1=NC2=NC=NC(=C2N1)N,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,55.67700195,inactive,,0,Acros
2391,144212648,9279,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C.[Br-],Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,78.78687928,inactive,,0,SIGMA
2392,144212535,54744,CC1=CC(=C(C=C1)C(=O)OC)C2=NC(C(=O)N2)(C)C(C)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,72.31447198,inactive,,0,LightBiologicals
2393,144212677,11683,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,94.16398697,inactive,,0,LightBiologicals
2394,144212151,3478,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,40.52282908,inactive,,0,SIGMA
2395,144212131,15359,CCNC1=NC(=NC(=N1)OC)NC(C)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,85.75489906,inactive,,0,Sigma DiscoveryCPR
2396,144212489,2723853,CNC(=S)NN,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,62.2161678,active antagonist,7.69588,-73.4415,Acros
2397,144211822,7116,C1=CC2=C(C=CC(=C2)S(=O)(=O)O)C=C1N,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,51.48327076,inactive,,0,LightBiologicals
2398,144212711,60196430,CCC(C)(CCC(C)C)C(=O)[O-].CCC(C)(CCC(C)C)C(=O)[O-].[Zn+2],Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,53.439241,inactive,,0,Alfa Aesar
2399,144213716,60196438,CC1=CC(=C(C=C1)C(=O)[N-]S(=O)(=O)/C=C/C2=CC=C(C=C2)OC)Cl.[Na+],Inconclusive,30,inconclusive agonist,inconclusive agonist,27.30602032,67.51099867,inactive,,0,Roche
2400,144209539,7430,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],Inconclusive,30,inconclusive agonist,inconclusive agonist,27.47271792,32.85730555,inactive,,0,SIGMA
2401,144213972,8814,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.65756642,64.19840325,active antagonist,61.1306,-105.71,SIGMA
2402,144209340,7813,CC1=CC=C(C=C1)N,Inconclusive,30,inconclusive agonist,inconclusive agonist,27.95606883,59.56527686,inactive,,0,SigmaAldrich
2403,144208954,19395,CCOP(=S)(OCC)OP(=S)(OCC)OCC,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.02959154,74.70530001,inactive,,0,SIGMA
2404,170466483,4500,CNCCC(C1=CC=CC=C1)OC2=CC=CC=C2OC,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,64.20931708,active antagonist,27.644,-39.5066,Tocris
2405,170466493,3828,CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,38.74839682,inactive,,0,Specs
2406,170465516,9883104,CCCCC1=CC2=CC=CC=C2C(=N1)OCCN(C)C.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,58.53931667,active antagonist,31.0171,-45.623,"Prestwick Chemical, Inc."
2407,170465853,6420010,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N.C(=C\C(=O)O)\C(=O)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,48.68213574,inconclusive antagonist,26.6032,-36.427,Prestwick
2408,170466401,5311093,CCCCCCCC/C=C\CCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,69.70509122,inactive,,0,Tocris
2409,170466810,12901,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,34.34507415,inactive,,0,Vitas
2410,170464631,6010,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,40.52489421,inactive,,0,Sequoia
2411,170465614,5881,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,36.60194184,inactive,,0,Labotest
2412,170465091,5591,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,70.3626286,inactive,,0,"Prestwick Chemical, Inc."
2413,170466585,13953,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCCCC2,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,42.80998894,inactive,,0,Labotest
2414,170465418,71329,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,57.87252769,inactive,,0,Sequoia
2415,170465760,2312,CN(C)CCCOC1(CCCCCC1)CC2=CC=CC=C2,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,42.59823668,active antagonist,21.1317,-33.4538,GVK
2416,170466725,10308,C1CC2=CC=CC=C2NC3=CC=CC=C31,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,46.69292923,inactive,,0,GVK
2417,170466590,23728,CN(C)CCN1CCN(C1=O)C2=CC(=CC=C2)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,42.63377389,inactive,,0,GVK
2418,170466708,5805243,C/C=C(/C(=C/C)/C1=CC=C(C=C1)OC(=O)C)\C2=CC=C(C=C2)OC(=O)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,134.9229079,inactive,,0,GVK
2419,144213162,,,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,65.71160899,inactive,,0,SIGMA
2420,170465409,23663976,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@H](C[C@H](CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],Inconclusive,30,inconclusive agonist,inconclusive agonist,28.17955139,34.95313076,inactive,,0,Sequoia
2421,144207358,115157,CCC(COCCOC(=O)C=C)(COCCOC(=O)C=C)COCCOC(=O)C=C,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.44210982,74.83991551,active antagonist,63.674,-93.8566,SIGMA
2422,144212268,61948,C(CC(CBr)(C#N)Br)C#N,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.92400374,81.06997626,active antagonist,44.9702,-58.9463,LightBiologicals
2423,144212484,6516,CCO[Si](C=C)(OCC)OCC,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.92400374,35.56653666,inactive,,0,Acros
2424,144211645,90479,CC(C)OC(=O)C1=CC=CC=C1OP(=S)(N)OC,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.92400374,38.7602981,inactive,,0,SIGMA
2425,144212827,121639,CC(=O)OCCN(CCOC(=O)C)C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)[N+](=O)[O-])C#N,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.92400374,48.00791562,inconclusive antagonist,49.3321,-40.5398,LightBiologicals
2426,144213709,20087,CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,28.92400374,58.98955867,inactive,,0,LightBiologicals
2427,144206400,60196324,CCC(=O)N(C1CCN(CC1)CCC2=CC=CS2)C3=CC=CC=C3.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.06250935,74.22176323,active antagonist,68.9181,-48.3893,RTI
2428,170464953,22576,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,72.58288869,active antagonist,17.7801,-55.7254,Microsource
2429,170465376,2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,33.98836634,active antagonist,27.644,-69.3441,Enzo
2430,170464758,11065,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,64.64772632,active antagonist,26.6032,-77.4015,Microsource
2431,170465127,2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,66.2964699,active antagonist,29.8493,-61.8994,Vitas
2432,170464718,3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,88.64171445,inactive,,0,Microsource
2433,170465596,4184,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,36.61217657,inconclusive antagonist,23.7101,-56.3294,Enzo
2434,170465190,8695,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,63.75622626,inactive,,0,Microsource
2435,170464930,4993,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,131.5925688,active antagonist,28.7255,-39.6242,Microsource
2436,170464997,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,115.6163259,active antagonist,33.4915,-56.9842,Specs
2437,170464724,7638,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,65.38559495,inactive,,0,Microsource
2438,170465010,4632,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,61.52223407,inactive,,0,Vitas
2439,170465270,67533,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,47.40076185,active antagonist,28.7255,-37.4088,Microsource
2440,170466266,35375,C1=CC=C(C(=C1)C(=O)OCCOCCO)NC2=CC=CC(=C2)C(F)(F)F,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,61.23048799,inactive,,0,Prestwick
2441,170465979,71771,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,42.20102923,inactive,,0,Vitas
2442,170464681,74989,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,88.82793427,active antagonist,11.8832,-56.1215,Bosche
2443,170466011,163751,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,229.6952259,active antagonist,27.644,-62.4028,Enzo
2444,170466037,941361,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,62.49231421,inconclusive antagonist,29.8493,-79.4949,Enzo
2445,170465776,9324,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,81.30004693,inconclusive antagonist,29.8493,-32.3516,Prestwick
2446,170465413,6419921,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,64.64578086,active antagonist,21.1317,-45.1669,Microsource
2447,170466366,6420041,CN(C)C/C=C(/C1=CC=C(C=C1)Br)\C2=CN=CC=C2.O.Cl.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,59.10809711,inconclusive antagonist,28.1796,-33.0469,Tocris
2448,170465946,69588,C1=CC=C(C=C1)C2=C(N=CN2)C3=CC=CC=C3,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,57.57861269,inactive,,0,Labotest
2449,170464803,448537,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,88.08927626,inactive,,0,Microsource
2450,170465725,8425,C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,86.55730909,inactive,,0,Bosche
2451,170464818,57363,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,72.14370343,inactive,,0,"Prestwick Chemical, Inc."
2452,170466429,6238,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,47.61277203,inactive,,0,Sequoia
2453,170466031,192197,CC[C@H](C1=CC=C(C=C1)O)[C@@H](CC)C2=CC=C(C=C2)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,82.23181516,inactive,,0,Microsource
2454,170465135,3961,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,64.43907656,inactive,,0,Microsource
2455,170465667,4506,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,139.4539799,inactive,,0,SIGMA
2456,170465113,60822,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2],Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,65.13390181,inactive,,0,Prestwick
2457,170465611,3686,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,74.96641134,inactive,,0,Vitas
2458,170465176,45006154,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC.Cl.Cl.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,67.44765793,active antagonist,21.9584,-53.06,Tocris
2459,170466467,53398649,CN(C)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)OCC#C.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,74.59801635,inactive,,0,Sequoia
2460,170464889,11953895,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.O.O.[Na+].[Na+].[Fe+4],Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,63.54506887,inactive,,0,Microsource
2461,170465796,123698,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,41.25623699,inactive,,0,Bosche
2462,170466548,175533,CCCCCCC[N+](CC)(CC)CCCCC1=CC=C(C=C1)Cl.CC1=CC=C(C=C1)S(=O)(=O)[O-],Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,35.34088826,inconclusive antagonist,26.6032,-39.6609,Prestwick
2463,170466799,34458,COC1=C(C2=C(CC3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,52.26149062,inactive,,0,Specs
2464,170466065,33478,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)OCOC(=O)C(C)(C)C)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,73.20487812,inactive,,0,Prestwick
2465,170464683,6230,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,76.50921511,inactive,,0,"Prestwick Chemical, Inc."
2466,144206505,4887,C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C5=NNN=N5,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,76.18307683,inactive,,0,ACC
2467,144206872,26391,CC(=O)OC1=CC=C(C=C1)C2(C(=O)NC3=CC=CC=C3O2)C4=CC=C(C=C4)OC(=O)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,67.35500599,inactive,,0,Pharmaron
2468,144206839,60810,C1CN(CCN1CCCC(=O)NC2C3=CC=CC=C3CSC4=CC=CC=C24)C5=CC=C(C=C5)F,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,77.29695521,active antagonist,21.1317,-60.7163,Pharmaron
2469,170466776,24466,CC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,62.34547137,inconclusive antagonist,19.9496,-40.3194,GVK
2470,170466688,152801,C1C2=C(C=CC(=C2)Cl)NC1=O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,39.01779458,inactive,,0,GVK
2471,170466303,72075,CN1CCC(CC1)N(CC2=CC=CC=C2)C3=CC=CC=C3,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,52.27197522,active antagonist,17.4422,-39.9871,GVK
2472,144212705,24180685,CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Ca+2],Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,107.4537341,inconclusive antagonist,33.4915,-46.5896,ChemService
2473,144210279,,,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,39.70163856,inactive,,0,NTP-MRI Repository
2474,144210287,,,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,78.98394797,inactive,,0,NTP-MRI Repository
2475,170465899,121035,CCC(=C(C1=CC=CC=C1)C2=CC=CC=C2)CN.Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,202.7284957,active antagonist,31.0171,-59.58,GVK
2476,170464723,214348,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,56.24372361,inconclusive antagonist,22.3838,-34.3467,Sequoia
2477,170465807,5756,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.84929478,34.19987815,inactive,,0,SIGMA
2478,144209667,155166,C1=C(C(=CC(=C1Br)Br)Br)OC2=CC(=C(C=C2Br)Br)Br,Inconclusive,30,inconclusive agonist,inconclusive agonist,29.86751194,62.33947873,inactive,,0,LKT Lab
2479,144208875,798,C1=CC=C2C(=C1)C=CN2,Inconclusive,30,inconclusive agonist,inconclusive agonist,30.14002276,91.58239857,inconclusive antagonist,,,SigmaAldrich
2480,144207804,10560335,C[N+]1=CN(C=C1)CC2=CC=CC=C2.[Cl-],Inconclusive,30,inconclusive agonist,inconclusive agonist,30.51327239,59.2039098,active antagonist,68.3107,-42.3069,Io-li-tec
2481,144208106,14642,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,30.54441101,41.53114629,active antagonist,68.3804,-48.0227,SigmaAldrich
2482,144210441,12902,CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,Inconclusive,30,inconclusive agonist,inconclusive agonist,30.63785871,56.68798249,inactive,,0,SIGMA
2483,144210938,138394051,[C@H]12[C@H]([C@H]3[C@@H]([C@@H]1Cl)O3)C4(C(=C([C@]2(C4(Cl)Cl)Cl)Cl)Cl)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,30.63785871,66.46536264,active antagonist,68.5896,-65.7555,SIGMA
2484,144211152,107080,CC(C)C(C(C)(C)COC(=O)C1=CC=CC=C1)OC(=O)C2=CC=CC=C2,Inconclusive,30,inconclusive agonist,inconclusive agonist,30.63785871,73.93808919,inactive,,0,SIGMA
2485,144211227,28935,COP(=S)(OC)OC1=CC(=C(C=C1Cl)I)Cl,Inconclusive,30,inconclusive agonist,inconclusive agonist,30.63785871,51.6917492,active antagonist,74.0614,-51.6165,LightBiologicals
2486,144212428,3371,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,Inconclusive,30,inconclusive agonist,inconclusive agonist,30.63785871,53.95571183,inactive,,0,Acros
2487,144212688,2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,Inconclusive,30,inconclusive agonist,inconclusive agonist,30.63785871,57.99489486,active antagonist,61.1306,-43.0398,LightBiologicals
2488,144212314,6604100,C1C(=NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+],Inconclusive,30,inconclusive agonist,inconclusive agonist,30.63785871,63.79720376,active antagonist,26.278,-66.9324,LightBiologicals
2489,144212365,12062,C1=C(C=C(C=C1N)N)C(=O)O,Inconclusive,30,inconclusive agonist,inconclusive agonist,30.63785871,63.76037953,inactive,,0,Acros
2490,144213129,517546,CCN(CC)C(=S)[S-].O.O.O.[Na+],Inconclusive,30,inconclusive agonist,inconclusive agonist,30.63785871,70.549811,inactive,,0,Enamine
