RESULT_TAG,SID,CID,SMILES,Activity_Outcome,Activity_Score,Activity_Summary,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),Sample_Source
27,144210902,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Active,69,active agonist,active agonist,43.27712571,964.0702182,inconclusive antagonist,48.5577,-35.4068,LightBiologicals
28,170466262,68909,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2OC(F)F)C(=O)OC,Active,68,active agonist,active agonist,2.033608783,199.5502705,inconclusive antagonist,,,Enamine
29,170466472,24405,CC(=CCNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C,Active,66,active agonist,active agonist,4.73079441,234.7493682,active antagonist,6.18872,-67.8099,GVK
30,170464695,16051942,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@@]1(C)C(=O)OC)C)O)C,Active,65,active agonist,active agonist,1.439684765,165.7764461,inactive,,0,"Prestwick Chemical, Inc."
31,144211603,2723715,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O.Cl,Active,65,active agonist,active agonist,5.243143474,237.7541852,active antagonist,0.544827,-41.8406,Enamine
32,170464914,4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,Active,65,active agonist,active agonist,5.515701336,239.7495458,inactive,,0,Microsource
33,170464694,3108,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,Active,65,active agonist,active agonist,11.88321829,332.39416,active agonist,15.5454,774.112,Enzo
34,144212652,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,Active,65,active agonist,active agonist,37.1186132,719.2869662,active antagonist,48.5577,-71.6096,SIGMA
35,144211066,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Active,64,active agonist,active agonist,0.524314347,128.647249,active antagonist,0.932377,-61.0795,SIGMA
36,170465595,153997,C1CN(CCN1C[C@H](COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5[C@H]6[C@H](C6(F)F)C7=CC=CC=C47.Cl.Cl.Cl,Active,64,active agonist,active agonist,2.764399094,187.8603456,active antagonist,25.6016,-87.4828,Selleck
37,144208019,11921,C1=CC=C(C(=C1)CCl)[N+](=O)[O-],Active,63,active agonist,active agonist,0.034761148,81.61898131,inactive,,0,SIGMA
38,144212558,9786,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)(C3=CC=CC=C3)F,Active,63,active agonist,active agonist,0.147771861,100.384676,active antagonist,0.186034,-95.908,LightBiologicals
39,170466656,6450551,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,Active,63,active agonist,active agonist,0.779113522,130.3907503,active antagonist,26.6032,-52.5754,Sequoia
40,170466811,3747,CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3,Active,63,active agonist,active agonist,1.283120398,151.110754,inconclusive antagonist,,,SIGMA
41,144206828,3309,CCN1C(C2=CC=CC=C2C1=O)NC3=CC=C(C=C3)OCCN4CCCCC4,Active,63,active agonist,active agonist,2.463773286,174.612488,inconclusive antagonist,26.6032,-39.6999,Pharmaron
42,144213666,10068207,CC1=C(C2=C(O1)C(=CC=C2)NC(=O)C3=C(C=CC=C3Cl)Cl)C(C)(C)O,Active,63,active agonist,active agonist,2.528861677,177.5549389,active antagonist,11.4158,-55.6049,Astellas Pharma
43,144213826,25015677,CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC,Active,63,active agonist,active agonist,14.06850512,330.8177015,active antagonist,9.97314,-100.997,Roche
44,170465074,62960,CS(=O)(=O)O.C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,Active,63,active agonist,active agonist,18.83363177,384.351816,active antagonist,14.1232,-62.7592,Tocris
45,144208953,5934,CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C,Active,62,active agonist,active agonist,0.753312087,127.9994393,active antagonist,78.2783,-77.169,Sensient
46,251919721,11159021,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl,Active,62,active agonist,active agonist,2.627796573,169.3556788,inactive,,0,Sigma Chemical Company
47,170465090,41684,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],Active,62,active agonist,active agonist,6.682424721,227.2821628,active antagonist,14.9601,-75.5844,Vitas
