RESULT_TAG,SID,CID,SMILES,Activity_Outcome,Activity_Score,Activity_Summary,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),Sample_Source
32,170466008,119583,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Active,59,active agonist,active agonist,2.113168243,49.30353021,inactive,,0,Vitas
33,170464719,22571,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N,Active,52,active agonist,active agonist,2.195840253,32.21793884,inactive,,0,Labotest
34,170466892,11957707,CN1C=CC2=CC3=C(CCN3C(=O)NC4=CN=CC=C4)C=C21.Cl,Active,60,active agonist,active agonist,2.223018416,52.50948481,inactive,,0,Tocris
35,144208277,34757,CC1=CC2=C(C=C1C)SC(=N2)N,Active,57,active agonist,active agonist,2.274494507,43.434707,inactive,,0,SIGMA
36,170466811,3747,CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3,Active,61,active agonist,active agonist,2.281746582,54.16024771,inactive,,0,SIGMA
37,144211848,80434,C1=CC(=CC=C1N)OC2=CC(=C(C=C2)N)N,Active,56,active agonist,active agonist,2.433651621,42.82697773,inconclusive antagonist,57.711,-37.303,LightBiologicals
38,144210729,91741,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC(C(F)F)(F)F)Cl)F,Active,50,active agonist,active agonist,2.433651621,26.02414267,inactive,,0,Sigma DiscoveryCPR
39,144210939,13089,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,Active,59,active agonist,active agonist,2.439458168,49.38721257,inactive,,0,ChemService
40,144213984,69779,C1=CC=C(C=C1)OC(=O)C2=CC(=CC=C2)C(=O)OC3=CC=CC=C3,Active,58,active agonist,active agonist,2.477646898,47.10495923,inactive,,0,SIGMA
41,251919768,17204,CCN(CC)C1=CC=C(C=C1)N=NC2=CC=CC=C2,Active,59,active agonist,active agonist,2.528861679,51.3106114,active antagonist,37.1186,-56.7956,Alfa Aesar
42,144209188,638024,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,Active,55,active agonist,active agonist,2.534005998,41.28879243,inactive,,0,SigmaAldrich
43,170466528,14652,CS(=O)(=O)C1=CC=C(C=C1)C2=CN3C=CC=CC3=N2,Active,56,active agonist,active agonist,2.560161774,42.37679193,inactive,,0,GVK
44,144211972,671,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O,Active,52,active agonist,active agonist,2.73060203,32.45932986,active antagonist,20.8733,-101.677,SIGMA
45,144209326,81259,CC(C)CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Active,47,active agonist,active agonist,2.736156738,20.0499243,active antagonist,61.2549,-68.7431,Sensient
46,251919754,18386,CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)C,Active,70,active agonist,active agonist,2.984929481,82.28809428,inconclusive antagonist,,,Sigma Chemical Company
47,170466216,53388,C[C@@H]1CN(C[C@@H](N1)C)CCCN2C3=CC=CC=C3C4=CC=CC=C42.Cl.Cl,Active,57,active agonist,active agonist,2.984929481,48.47470923,active antagonist,29.8493,-99.509,Tocris
48,144212165,5280378,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,Active,60,active agonist,active agonist,3.063785869,56.82251283,inactive,,0,LightBiologicals
49,144208953,5934,CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C,Active,55,active agonist,active agonist,3.116316813,43.58169035,inconclusive antagonist,49.3903,-66.0817,Sensient
50,144207715,10891,CC1=CC=C(C=C1)N.Cl,Active,61,active agonist,active agonist,3.203083745,58.76207132,inactive,,0,SigmaAldrich
51,144209745,5281575,COC1=CC=C(C=C1)/C=C/C2=CC(=CC(=O)O2)OC,Active,49,active agonist,active agonist,3.2583757,26.97500326,inactive,,0,ChromaDex
52,144209957,7115,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3,Active,56,active agonist,active agonist,3.273673911,45.97157068,inactive,,0,SigmaAldrich
